SFrame Completed
+--------------------------+------+-------------------------------+
|          image           | name |          annotations          |
+--------------------------+------+-------------------------------+
|  Height: 640 Width: 480  | 104  | [{'label': 'text', 'coordi... |
| Height: 2592 Width: 3888 | 196  | [{'label': 'text', 'coordi... |
|  Height: 480 Width: 640  | 161  | [{'label': 'text', 'coordi... |
|  Height: 480 Width: 640  | 151  | [{'label': 'text', 'coordi... |
|  Height: 480 Width: 640  | 100  | [{'label': 'text', 'coordi... |
|  Height: 480 Width: 640  | 290  | [{'label': 'text', 'coordi... |
|  Height: 480 Width: 640  | 260  | [{'label': 'text', 'coordi... |
|  Height: 480 Width: 640  | 291  | [{'label': 'text', 'coordi... |
| Height: 960 Width: 1280  | 112  | [{'label': 'text', 'coordi... |
|  Height: 640 Width: 480  | 211  | [{'label': 'text', 'coordi... |
+--------------------------+------+-------------------------------+
[200 rows x 3 columns]
Note: Only the head of the SFrame is printed.
You can use print_rows(num_rows=m, num_columns=n) to print more rows and columns.
Setting 'batch_size' to 128
Using GPUs to create model (GeForce GTX 1080 Ti, GeForce GTX 1080 Ti, GeForce GTX 1080 Ti, GeForce GTX 1080 Ti)
Setting 'max_iterations' to 1000
+--------------+--------------+--------------+
| Iteration    | Loss         | Elapsed Time |
+--------------+--------------+--------------+
| 226          | 2.328        | 2222.7       |
| 228          | 2.294        | 2242.3       |
| 229          | 2.308        | 2252.5       |
| 231          | 2.294        | 2273.1       |
| 232          | 2.312        | 2283.2       |
| 234          | 2.285        | 2302.4       |
| 236          | 2.279        | 2321.6       |
| 238          | 2.281        | 2341.4       |
| 240          | 2.252        | 2360.2       |
| 241          | 2.255        | 2370.3       |
| 242          | 2.256        | 2380.6       |
| 244          | 2.245        | 2400.0       |
| 245          | 2.241        | 2410.5       |
| 247          | 2.235        | 2430.8       |
| 249          | 2.235        | 2452.2       |
| 251          | 2.250        | 2471.9       |
| 253          | 2.210        | 2489.9       |
| 254          | 2.206        | 2500.0       |
| 256          | 2.162        | 2519.2       |
| 258          | 2.159        | 2540.0       |
| 260          | 2.151        | 2558.4       |
| 262          | 2.191        | 2578.2       |
| 264          | 2.184        | 2597.1       |
| 266          | 2.182        | 2616.8       |
| 268          | 2.159        | 2637.0       |
| 270          | 2.141        | 2655.6       |
| 272          | 2.149        | 2675.6       |
| 274          | 2.145        | 2695.0       |
| 276          | 2.139        | 2715.0       |
| 278          | 2.158        | 2733.3       |
| 279          | 2.159        | 2743.9       |
| 281          | 2.129        | 2763.0       |
| 283          | 2.117        | 2781.1       |
| 284          | 2.093        | 2792.5       |
